Time,Node,X,Y,ElectricField,MagneticField
0.03,37,0.777778,0.333333,0,0
0.03,38,0.888889,0.333333,0,0
0.03,39,1,0.333333,0,0
0.03,40,0,0.444444,0,0
0.03,41,0.111111,0.444444,0,0
0.03,42,0.222222,0.444444,0,0
0.03,43,0.333333,0.444444,0,0
0.03,44,0.444444,0.444444,0,0
0.03,45,0.555556,0.444444,0,0
0.03,46,0.666667,0.444444,0,0
0.03,47,0.777778,0.444444,0,0
0.03,48,0.888889,0.444444,0,0
0.03,49,1,0.444444,0,0
0.03,50,0,0.555556,0,0
0.03,51,0.111111,0.555556,0,0
0.03,52,0.222222,0.555556,0,0
0.03,53,0.333333,0.555556,0,0
0.03,54,0.444444,0.555556,0,0
0.03,55,0.555556,0.555556,0,0
0.03,56,0.666667,0.555556,0,0
0.03,57,0.777778,0.555556,0,0
0.03,58,0.888889,0.555556,0,0
0.03,59,1,0.555556,0,0
0.03,60,0,0.666667,0,0
0.03,61,0.111111,0.666667,0,0
0.03,62,0.222222,0.666667,0,0
0.03,63,0.333333,0.666667,0,0
0.03,64,0.444444,0.666667,0,0
0.03,65,0.555556,0.666667,0,0
0.03,66,0.666667,0.666667,0,0
0.03,67,0.777778,0.666667,0,0
0.03,68,0.888889,0.666667,0,0
0.03,69,1,0.666667,0,0
0.03,70,0,0.777778,0,0
0.03,71,0.111111,0.777778,0,0
0.03,72,0.222222,0.777778,0,0
0.03,73,0.333333,0.777778,0,0
0.03,74,0.444444,0.777778,0,0
0.03,75,0.555556,0.777778,0,0
0.03,76,0.666667,0.777778,0,0
0.03,77,0.777778,0.777778,0,0
0.03,78,0.888889,0.777778,0,0
0.03,79,1,0.777778,0,0
0.03,80,0,0.888889,0,0
0.03,81,0.111111,0.888889,0,0
0.03,82,0.222222,0.888889,0,0
0.03,83,0.333333,0.888889,0,0
0.03,84,0.444444,0.888889,0,0
0.03,85,0.555556,0.888889,0,0
0.03,86,0.666667,0.888889,0,0
0.03,87,0.777778,0.888889,0,0
0.03,88,0.888889,0.888889,0,0
0.03,89,1,0.888889,0,0
0.03,90,0,1,0,0
0.03,91,0.111111,1,0,0
0.03,92,0.222222,1,0,0
0.03,93,0.333333,1,0,0
0.03,94,0.444444,1,0,0
0.03,95,0.555556,1,0,0
0.03,96,0.666667,1,0,0
